Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
ALLE,Allegion,Industrials,New York,12/2/13,1908,,
AME,Ametek,Industrials,Pennsylvania,9/23/13,1930,,
AOS,A. O. Smith,Industrials,Wisconsin,7/26/17,1916,,
BA,Boeing,Industrials,Illinois,3/4/57,1916,,
CARR,Carrier Global,Industrials,Florida,4/3/20,1915,,
CAT,Caterpillar,Industrials,Illinois,3/4/57,1925,,
CHRW,C. H. Robinson,Industrials,Minnesota,3/2/07,1905,,
CMI,Cummins,Industrials,Indiana,3/31/65,1919,,
CPRT,Copart,Industrials,Texas,7/2/18,1982,,
CSX,CSX,Industrials,Florida,9/30/67,1980,,
CTAS,Cintas Corporation,Industrials,Ohio,3/1/01,1929,,
DAL,Delta Air Lines,Industrials,Georgia,9/11/13,1929,,
DE,Deere & Co.,Industrials,Illinois,3/4/57,1837,,
DOV,Dover Corporation,Industrials,Illinois,10/31/85,1955,,
EFX,Equifax,Industrials,Georgia,6/19/97,1899,,
EMR,Emerson Electric,Industrials,Missouri,3/31/65,1890,,
ETN,Eaton Corporation,Industrials,Ireland,,1911,,
EXPD,Expeditors,Industrials,Washington,10/10/07,1979,,
FAST,Fastenal,Industrials,Minnesota,9/15/08,1967,,
FBHS,Fortune Brands Home & Security,Industrials,Illinois,6/22/16,1969,,
FDX,FedEx,Industrials,Tennessee,12/31/80,1971,,
FTV,Fortive,Industrials,Washington,7/1/16,2016,,
GD,General Dynamics,Industrials,Virginia,3/4/57,1899,,
GE,General Electric,Industrials,Massachusetts,,1892,,
GNRC,Generac Holdings,Industrials,Wisconsin,3/22/21,1959,,
GWW,W. W. Grainger,Industrials,Illinois,6/30/81,1927,,
HII,Huntington Ingalls Industries,Industrials,Virginia,1/3/18,2011,,
HON,Honeywell,Industrials,North Carolina,3/31/64,1906,,
HWM,Howmet Aerospace,Industrials,Pennsylvania,3/31/64,2016,,
IEX,IDEX Corporation,Industrials,Illinois,8/9/19,1988,,
INFO,IHS Markit,Industrials,England,6/2/17,1959,,
IR,Ingersoll Rand,Industrials,Wisconsin,3/3/20,1859,,
ITW,Illinois Tool Works,Industrials,Illinois,2/28/86,1912,,
J,Jacobs Engineering Group,Industrials,Texas,10/26/07,1947,,
JBHT,J. B. Hunt,Industrials,Arkansas,7/1/15,1961,,
JCI,Johnson Controls,Industrials,Ireland,8/27/10,1885,,
KSU,Kansas City Southern,Industrials,Missouri,5/24/13,1887,,
LDOS,Leidos,Industrials,Virginia,8/9/19,1969,,
LHX,L3Harris Technologies,Industrials,Florida,9/22/08,1895,,
LMT,Lockheed Martin,Industrials,Maryland,7/31/84,1995,,
LUV,Southwest Airlines,Industrials,Texas,7/1/94,1967,,
MAS,Masco,Industrials,Michigan,6/30/81,1929,,
MMM,3M,Industrials,Minnesota,8/9/76,1902,,
NLSN,Nielsen Holdings,Industrials,New York,7/9/13,1923,,
NOC,Northrop Grumman,Industrials,Virginia,6/30/85,1930,,
NSC,Norfolk Southern,Industrials,Virginia,3/4/57,1881,,
ODFL,Old Dominion Freight Line,Industrials,North Carolina,12/9/19,1934,,
OTIS,Otis Worldwide,Industrials,Connecticut,4/3/20,1853,,
PCAR,Paccar,Industrials,Washington,12/31/80,1905,,
PH,Parker-Hannifin,Industrials,Ohio,11/30/85,1917,,
PNR,Pentair,Industrials,England,10/1/12,1966,,
PWR,Quanta Services,Industrials,Texas,7/1/09,1997,,
RHI,Robert Half International,Industrials,California,12/5/00,1948,,
ROK,Rockwell Automation,Industrials,Wisconsin,,1903,,
ROL,Rollins,Industrials,Georgia,10/1/18,1948,,
ROP,Roper Technologies,Industrials,Florida,12/23/09,1981,,
RSG,Republic Services,Industrials,Arizona,12/5/08,1981,,
RTX,Raytheon Technologies,Industrials,Massachusetts,,1922,,
SNA,Snap-on,Industrials,Wisconsin,9/30/82,1920,,
SWK,Stanley Black & Decker,Industrials,Connecticut,9/30/82,1843,,
